Designator,Footprint,Quantity,Value,LCSC Part #
ANT101,SMA-SMD_BWSMA-KE-P001,1,BWSMA-KE-P001,C496550
"C101, C102, C103, C104, C105, C107, C110, C808, C809, C810, C813",0402,11,C_0402_100nf_X7R,C110251
C106,0402,1,C_0402_1u_X5R,C307413
"C108, C109",0402,2,C_0402_1p8_C0G,C76903
"C111, C112, C816",0805,3,C_0805_10u_X5R,C162422
C113,0805,1,C_0805_4u7_X5R,C577033
C801,0402,1,C_0402_10n_C0G,C60133
C802,0402,1,C_0402_8p2_C0G,C88898
"C803, C811, C812",0402,3,C_0402_22p_C0G,C161315
C805,0402,1,C_0402_6p8_C0G,C354360
C807,0402,1,C_0402_3p3_C0G,C76968
C814,0402,1,C_0402_5p6_C0G,C88895
"C815, L803, L804",0402,3,L_0402_5n6,C91626
"C823, C825",0402,2,C_0402_100p_C0G,C711072
"C828, C829",0402,2,C_0402_1nf_X7R,C126538
D101,D_SOD-323F,1,30v 230mv@100ma 1A,C146335
"D102, D103",0603,2,LED_0603_GREEN,C389519
"D104, D105",0603,2,LED_0603_YELLOW,C72038
FB101,0402,1,~,C102745
FB102,0603,1,380mΩ ±25% 600Ω@100MHz,C19330
J101,USB-A-TH_48037-0001,1,USB_A,C136455
JP101,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,1,SolderJumper_3_Bridged12,
L801,0402,1,L_0402_2n7,C98058
L802,0402,1,L_0402_22n,C86129
Q801,SOT-23,1,BC817,C39828
"R101, R103, R104, R805",0402,4,R_0402_10k,C2902636
"R102, R804",0402,2,R_0402_0,C102745
"R802, R803",0402,2,R_0402_100k,C2984406
U101,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G431CBUx,C529356
U102,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q16JVSSIQ,C82317
U103,SOT-23-5,1,SPX3819M5-L-3-3_TR,C9055
U104,USON-10_2.5x1.0mm_P0.5mm,1,TPD4E02B04DQA,C106794
U801,QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm_ThermalVias,1,RF69,C77220
U802,SOT-23-6,1,AS193-73LF,C6199
"Y101, Y801",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,32_Mhz,C5143379
