Designator,Footprint,Quantity,Value,LCSC Part #
"ANT601, ANT801",IPEX-SMD_BWIPX-1-001E,2,BWIPX-1-001E,C496552
BT501,BAT-SMD_CR1220-2,1,Battery_Cell,C70381
"C201, C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C605, C816",805,13,C_0805_10u_X5R,C162422
"C202, C603",805,2,C_0805_1u_X7R,C24123
"C401, C402, C502, C503, C504, C505, C506, C507, C508, C509, C511, C516, C519, C520, C521, C606, C607, C610, C611, C612, C808, C809, C810, C813",402,24,C_0402_100nf_X7R,C110251
C501,805,1,C_0805_4u7_X5R,C577033
C510,402,1,C_0402_1u_X5R,C307413
"C512, C513",402,2,C_0402_2u2_X5R,C385032
"C514, C515, C517, C518, C615, C616, C617, C618, C803, C811, C812",402,11,C_0402_22p_C0G,C161315
"C604, C801",402,2,C_0402_10n_C0G,C60133
"C608, C609",402,2,C_0402_1p8_C0G,C76903
C802,402,1,C_0402_8p2_C0G,C88898
C805,402,1,C_0402_6p8_C0G,C354360
C807,402,1,C_0402_3p3_C0G,C76968
C814,402,1,C_0402_5p6_C0G,C88895
"C815, L803, L804",402,3,L_0402_5n6,C91626
"C823, C825",402,2,C_0402_100p_C0G,C711072
"C828, C829",402,2,C_0402_1nf_X7R,C126538
"D201, D504, D506",603,3,LED_0603_RED,C389517
"D202, D301, D302, D505",D_SOD-323F,4,30v 230mv@100ma 1A,C146335
D501,SOT-23,1,BAT54C,C5184395
D502,603,1,LED_0603_GREEN,C389519
D503,603,1,LED_0603_YELLOW,C72038
F201,1206,1,nSMD010,C70065
FB501,402,1,FerriteBead_Small,C102745
"L601, L802",402,2,L_0402_22n,C86129
L602,402,1,L_0402_3n3,C341785
L801,402,1,L_0402_2n7,C98058
"Q202, Q301",SOP-8_3.76x4.96mm_P1.27mm,2,AO4803A,C5224315
"Q302, Q303, Q304",SOT-23-6,3,8205A,C2762931
Q801,SOT-23,1,BC817,C39828
"R201, R602",603,2,R_0603_499,C137714
"R203, R206",805,2,R_0805_10k,C17414
R207,805,1,R_0805_4k7,C17673
"R301, R302, R701, R703, R705, R707",603,6,R_0603_100k,C335088
R401,1206,1,R_1206_120,C294122
"R402, R503, R504, R505, R608, R805",402,6,R_0402_10k,C2902636
"R501, R802, R803",402,3,R_0402_100k,C2984406
"R502, R601, R804",402,3,R_0402_0,C102745
"R506, R507, R508, R509",603,4,R_0603_330,C861328
"R702, R704, R706, R708",603,4,R_0603_20k,C319766
"RN501, RN502, RN503, RN504",R_Array_Concave_4x0402,4,RA_0402_04_100,C48442
U201,SOT-23-5,1,SPX3819M5-L-3-3_TR,C9055
"U202, U301, U302, U303, U304, U305, U306, U307, U308",SOT-23-5,9,MCP1416,C83775
U401,SOIC-8_3.9x4.9mm_P1.27mm,1,TLE9251VSJXUMA1,C189937
U501,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q16JVSSIQ,C82317
U503,LQFP-100_14x14mm_P0.5mm,1,STM32F407VGTx,C12345
U601,QFN50P500X500X90-33N,1,ESP32-C3FH4,C2858491
U801,QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm_ThermalVias,1,RF69,C77220
U802,SOT-23-6,1,AS193-73LF,C6199
Y501,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25_Mhz,C9006
"Y502, Y602",Crystal_SMD_3215-2Pin_3.2x1.5mm,2,Q13FC1350000400,C32346
Y601,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40_Mhz,C2901712
Y801,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32_Mhz,C9009
