Designator,Mid X,Mid Y,Rotation,Layer
ANT601,71.813589,-98.447026,180.0,top
ANT801,32.35,-74.58876,90.0,top
BTN501,48.069099,-82.244073,0.0,top
BTN502,48.069099,-88.844073,0.0,top
C201,83.313255,-63.23,180.0,top
C202,82.563256,-60.43,270.0,top
C301,59.57,-53.75,0.0,top
C302,55.95,-53.76,0.0,top
C303,66.81,-53.78,0.0,top
C304,63.19,-53.76,0.0,top
C305,74.05,-53.75,0.0,top
C306,70.43,-53.76,0.0,top
C307,41.55,-56.52,0.0,top
C308,45.35,-56.53,0.0,top
C309,40.55,-42.0,0.0,top
C310,45.15,-41.98,180.0,top
C401,85.3,-54.5,180.0,top
C402,88.7,-47.435,270.0,top
C503,53.219099,-80.594073,0.0,top
C504,53.219099,-86.164074,180.0,top
C505,50.179098,-84.459074,180.0,top
C506,63.914073,-90.074073,180.0,top
C507,63.914073,-91.104073,0.0,top
C508,64.974099,-93.314073,0.0,top
C50823,66.005801,-86.344073,180.0,top
C50835,68.229099,-77.987956,90.0,top
C50848,57.213947,-73.509073,0.0,top
C509,55.289099,-78.142575,270.0,top
C510,65.949125,-91.109073,0.0,top
C511,65.942601,-90.089073,180.0,top
C601,77.619099,-82.763483,90.0,top
C602,82.8,-82.8,270.0,top
C603,82.159099,-86.454073,0.0,top
C604,82.109099,-92.034073,180.0,top
C6Z1,77.349099,-90.694073,180.0,top
C6Z3,77.349099,-94.084073,180.0,top
C801,33.0,-88.0,90.0,top
C802,36.0,-88.0,270.0,top
C803,36.0,-86.0,90.0,top
C805,33.0,-85.0,90.0,top
C807,35.0,-82.48,90.0,top
C808,28.54,-88.0,180.0,top
C809,28.54,-89.0,180.0,top
C810,28.54,-90.0,180.0,top
C811,28.56,-91.0,0.0,top
C812,28.5,-96.95,180.0,top
C813,39.9,-93.85,90.0,top
C814,39.05,-86.85,270.0,top
C815,38.05,-86.85,270.0,top
C816,28.5,-86.5,180.0,top
C823,38.1,-84.6,90.0,top
C825,36.945001,-77.62,180.0,top
C828,29.25,-80.5,0.0,top
C829,38.695001,-78.76,180.0,top
D201,78.895001,-62.355,90.0,top
D501,50.695,-78.555,270.0,top
D502,52.285,-78.555,270.0,top
F201,79.15,-53.75,0.0,top
J503,56.475,-70.175,270.0,top
L201,83.3625,-57.6,180.0,top
L501,64.979099,-92.269073,0.0,top
L601,80.212774,-82.763484,180.0,top
L6Z2,77.829099,-92.389072,270.0,top
L801,35.0,-87.985,90.0,top
L802,34.0,-88.0,90.0,top
L803,34.0,-84.985,90.0,top
L804,34.0,-82.5,90.0,top
Q301,43.0,-47.0,90.0,top
Q302,57.42,-46.52,0.0,top
Q303,64.32,-46.48,0.0,top
Q304,71.47,-46.52,0.0,top
Q305,95.25,-64.362499,270.0,top
Q306,95.25,-59.95,270.0,top
Q801,29.75,-83.0125,90.0,top
R201,78.895001,-59.305,270.0,top
R203,80.555755,-60.43,270.0,top
R401,85.3,-44.83,180.0,top
R402,81.78,-47.465,270.0,top
R501,50.25,-69.325,0.0,top
R502,50.249999,-70.35,0.0,top
R503,50.705,-75.495,90.0,top
R504,52.315,-75.495,90.0,top
R601,76.228169,-98.447025,180.0,top
R701,95.2,-80.8,270.0,top
R702,98.425,-83.2,180.0,top
R703,93.6,-80.8,270.0,top
R704,95.225,-83.2,180.0,top
R705,92.0,-80.8,270.0,top
R706,92.025,-83.2,180.0,top
R707,90.4,-80.8,270.0,top
R708,88.825,-83.2,180.0,top
R802,29.25,-79.4875,0.0,top
R803,38.69,-79.794999,180.0,top
R804,33.86,-77.6,180.0,top
R805,30.96,-85.96,90.0,top
U201,84.843256,-60.43,90.0,top
U301,60.47,-50.48,90.0,top
U302,56.97,-50.48,90.0,top
U303,67.47,-50.48,90.0,top
U304,63.97,-50.48,90.0,top
U305,74.47,-50.48,90.0,top
U306,70.97,-50.48,90.0,top
U307,42.42,-53.23,90.0,top
U308,46.03,-53.23,90.0,top
U401,85.3,-49.8,90.0,top
U501,61.994099,-81.099073,0.0,top
U601,76.910777,-86.8844,90.0,top
U801,35.756599,-92.294073,0.0,top
U802,37.4,-82.0,90.0,top
Y501,53.219099,-83.379073,270.0,top
Y601,81.382775,-89.244073,90.0,top
Y801,29.3,-94.0,270.0,top
