Designator,Mid X,Mid Y,Rotation,Layer
AE101,65.0,-72.7,90.0,top
C1,91.2,-42.75,180.0,top
C101,53.25,-46.4,180.0,top
C102,53.25,-47.925,180.0,top
C103,74.425,-51.327499,180.0,top
C104,59.79624,-62.9,270.0,top
C105,59.796239,-60.9,90.0,top
C106,61.9,-69.2,270.0,top
C107,61.54624,-63.4,180.0,top
C108,68.1,-69.2,90.0,top
C109,66.02,-69.200001,0.0,top
C110,66.02,-66.200001,0.0,top
C111,64.02,-66.2,180.0,top
C112,64.02,-69.200001,180.0,top
C113,70.8475,-56.61,90.0,top
C114,68.8,-56.4,0.0,top
C115,72.5,-62.3,0.0,top
C116,82.5,-48.25,180.0,top
C117,89.75,-48.95,270.0,top
C118,83.5,-68.28,180.0,top
C119,83.25,-59.03,180.0,top
C120,73.5,-66.02,270.0,top
C2,82.5,-46.15,180.0,top
C3,89.3,-39.25,180.0,top
D101,40.787501,-56.662501,0.0,top
D102,78.495,-44.977499,270.0,top
D104,40.7875,-52.6875,0.0,top
D105,40.7875,-48.7125,0.0,top
D106,40.7875,-44.7375,0.0,top
D107,82.75,-57.28,0.0,top
D108,40.7875,-54.675,0.0,top
D109,82.75,-69.78,180.0,top
D110,40.7375,-50.7,0.0,top
D111,40.875,-42.75,0.0,top
D112,40.787501,-46.725,0.0,top
FB101,93.0,-39.25,180.0,top
H103_3,46.0,-66.0,0.0,top
J102,66.0,-23.534,180.0,top
J103,157.0,-33.5,0.0,top
L101,65.52,-67.700001,270.0,top
L102,64.52,-67.700001,270.0,top
Q101,54.525,-50.8625,90.0,top
Q102,63.7,-50.937501,90.0,top
Q103,60.2,-50.9,90.0,top
Q104,67.2,-50.9375,90.0,top
R101,56.05,-47.15,90.0,top
R102,45.2,-55.325,90.0,top
R103,43.3,-55.325,270.0,top
R104,53.605001,-54.492501,90.0,top
R105,62.75,-54.549999,90.0,top
R106,59.2,-54.5375,90.0,top
R107,66.2,-54.4375,90.0,top
R108,63.75,-47.125,90.0,top
R109,60.2,-47.15,90.0,top
R110,67.2,-47.1875,90.0,top
R111,78.495001,-48.427499,90.0,top
R113,45.2,-51.35,90.0,top
R114,43.3,-51.35,270.0,top
R115,45.2,-47.375,90.0,top
R116,45.2,-43.4,90.0,top
R117,43.3,-47.375,270.0,top
R118,43.3,-43.4,270.0,top
R119,70.385001,-44.527499,180.0,top
R120,74.265,-40.975,0.0,top
R121,61.54624,-62.3,0.0,top
R122,61.54624,-61.05,180.0,top
R123,72.5,-66.03,90.0,top
R124,71.54,-66.03,90.0,top
R125,72.51,-60.4,180.0,top
T101,141.05,-44.5,0.0,top
T102,145.65,-44.5,0.0,top
T103,150.25,-44.5,0.0,top
T104,154.85,-44.5,0.0,top
T105,159.45,-44.5,0.0,top
T106,164.05,-44.5,0.0,top
T107,168.65,-44.5,0.0,top
T108,173.25,-44.5,0.0,top
T109,141.3,-61.25,0.0,top
T110,145.9,-61.25,0.0,top
T111,150.5,-61.25,0.0,top
T112,155.1,-61.25,0.0,top
T113,159.7,-61.25,0.0,top
T114,164.3,-61.25,0.0,top
T115,168.9,-61.25,0.0,top
T116,173.5,-61.25,0.0,top
U1,86.6125,-48.95,0.0,top
U101,66.25,-61.55,90.0,top
U102,74.365,-46.975,90.0,top
U103,84.0,-40.5,90.0,top
Y101,57.44624,-61.7,270.0,top
